,year,code,state,lat,lon,RATE,DEATHS
0,2014,AL,Alabama,32.7794,-86.8287,16.9,815
1,2014,AK,Alaska,64.0685,-152.2782,19.2,145
2,2014,AZ,Arizona,34.2744,-111.6602,13.5,927
3,2014,AR,Arkansas,34.8938,-92.4426,16.6,496
4,2014,CA,California,37.1841,-119.4696,7.4,"2,942"
5,2014,CO,Colorado,38.9972,-105.5478,12.2,663
6,2014,CT,Connecticut,41.6219,-72.7273,5.0,187
7,2014,DE,Delaware,38.9896,-75.505,11.1,102
8,2014,FL,Florida,28.6305,-82.4497,11.5,"2,410"
9,2014,GA,Georgia,32.6415,-83.4426,13.7,"1,391"
10,2014,HI,Hawaii,20.2927,-156.3737,2.6,40
11,2014,ID,Idaho,44.3509,-114.613,13.2,213
12,2014,IL,Illinois,40.0417,-89.1965,9.0,"1,179"
13,2014,IN,Indiana,39.8942,-86.2816,12.4,818
14,2014,IA,Iowa,42.0751,-93.496,7.5,241
15,2014,KS,Kansas,38.4937,-98.3804,11.3,329
16,2014,KY,Kentucky,37.5347,-85.3021,13.9,634
17,2014,LA,Louisiana,31.0689,-91.9968,19.0,896
18,2014,ME,Maine,45.3695,-69.2428,9.4,133
19,2014,MD,Maryland,39.055,-76.7909,9.0,546
20,2014,MA,Massachusetts,42.2596,-71.8083,3.2,226
21,2014,MI,Michigan,44.3467,-85.4102,11.1,"1,095"
22,2014,MN,Minnesota,46.2807,-94.3053,6.6,377
23,2014,MS,Mississippi,32.7364,-89.6678,18.3,547
24,2014,MO,Missouri,38.3566,-92.458,15.3,943
25,2014,MT,Montana,47.0527,-109.6333,16.1,172
26,2014,NE,Nebraska,41.5378,-99.7951,9.5,179
27,2014,NV,Nevada,39.3289,-116.6312,14.8,429
28,2014,NH,New Hampshire,43.6805,-71.5811,8.7,122
29,2014,NJ,New Jersey,40.1907,-74.6728,5.3,468
30,2014,NM,New Mexico,34.4071,-106.1126,16.0,340
31,2014,NY,New York,42.9538,-75.5268,4.2,875
32,2014,NC,North Carolina,35.5557,-79.3877,11.8,"1,206"
33,2014,ND,North Dakota,47.4501,-100.4659,12.3,96
34,2014,OH,Ohio,40.2862,-82.7937,10.3,"1,211"
35,2014,OK,Oklahoma,35.5889,-97.4943,15.7,611
36,2014,OR,Oregon,43.9336,-120.5583,11.7,497
37,2014,PA,Pennsylvania,40.8781,-77.7996,10.5,"1,390"
38,2014,RI,Rhode Island,41.6762,-71.5562,3.0,34
39,2014,SC,South Carolina,33.9169,-80.8964,15.5,767
40,2014,SD,South Dakota,44.4443,-100.2263,10.3,89
41,2014,TN,Tennessee,35.85800000000001,-86.3505,15.1,"1,016"
42,2014,TX,Texas,31.4757,-99.3312,10.7,"2,848"
43,2014,UT,Utah,39.3055,-111.6703,12.3,337
44,2014,VT,Vermont,44.0687,-72.6658,10.3,69
45,2014,VA,Virginia,37.5215,-78.8537,10.3,889
46,2014,WA,Washington,47.3826,-120.4472,9.7,702
47,2014,WV,West Virginia,38.6409,-80.6227,14.6,286
48,2014,WI,Wisconsin,44.6243,-89.9941,8.2,487
49,2014,WY,Wyoming,42.9957,-107.5512,16.2,93
50,2015,AL,Alabama,32.7794,-86.8287,19.6,958
51,2015,AK,Alaska,64.0685,-152.2782,23.4,177
52,2015,AZ,Arizona,34.2744,-111.6602,13.8,970
53,2015,AR,Arkansas,34.8938,-92.4426,16.9,520
54,2015,CA,California,37.1841,-119.4696,7.7,"3,095"
55,2015,CO,Colorado,38.9972,-105.5478,12.6,701
56,2015,CT,Connecticut,41.6219,-72.7273,5.3,189
57,2015,DE,Delaware,38.9896,-75.505,12.1,112
58,2015,FL,Florida,28.6305,-82.4497,12.0,"2,559"
59,2015,GA,Georgia,32.6415,-83.4426,14.1,"1,448"
60,2015,HI,Hawaii,20.2927,-156.3737,3.6,55
