title,city_ascii,state_name,ideology,year,city,state_id,lat,lon
a2z Publications,Las Vegas,Nevada,General Hate,2015,Las Vegas,NV,36.2291,-115.2607
Abiding Truth Ministries,Springfield,Massachusetts,Anti-LGBT,2015,Springfield,MA,42.1155,-72.5395
AC Skins,Atlantic City,New Jersey,Racist Skinhead,2015,Atlantic City,NJ,39.3797,-74.4527
ACT for America,Virginia Beach,Virginia,Anti-Muslim,2015,Virginia Beach,VA,36.7335,-76.0435
Active Democracy,Washington,District of Columbia,General Hate,2015,Washington,DC,38.9047,-77.0163
Advanced White Society,Mount Airy,North Carolina,White Nationalist,2015,Mount Airy,NC,36.5083,-80.6157
Advanced White Society,New York,New York,White Nationalist,2015,New York,NY,40.6943,-73.9249
Aggressive Christianity,Berino,New Mexico,General Hate,2015,Berino,NM,32.0689,-106.6219
Aggressive Christianity,Fence Lake,New Mexico,General Hate,2015,Fence Lake,NM,34.669,-108.6801
All Eyes on Egipt Bookstore,Cleveland,Ohio,Black Nationalist,2015,Cleveland,OH,41.4767,-81.6805
All Eyes on Egipt Bookstore,Detroit,Michigan,Black Nationalist,2015,Detroit,MI,42.3834,-83.1024
All Eyes on Egipt Bookstore,Monticello,Georgia,Black Nationalist,2015,Monticello,GA,33.3076,-83.6861
All Eyes on Egipt Bookstore,Orlando,Florida,Black Nationalist,2015,Orlando,FL,28.4788,-81.342
All Eyes on Egipt Bookstore,Scottdale,Georgia,Black Nationalist,2015,Scottdale,GA,33.795,-84.2634
All Eyes on Egipt Bookstore,Boston,Massachusetts,Black Nationalist,2015,Boston,MA,42.3188,-71.0846
All Eyes On Egipt Bookstore,Chicago,Illinois,Black Nationalist,2015,Chicago,IL,41.8373,-87.6861
All Eyes On Egipt Bookstore,Brooklyn,New York,Black Nationalist,2015,Brooklyn,NY,40.6501,-73.9496
All Eyes On Egypt Bookstore,Macon,Georgia,Black Nationalist,2015,Macon,GA,32.8407,-83.6324
All Eyes on Egypt Bookstore,Milledgeville,Georgia,Black Nationalist,2015,Milledgeville,GA,33.0874,-83.2414
Alliance for Catholic Tradition,Pleasant Unity,Pennsylvania,Radical Traditional Catholicism,2015,Pleasant Unity,PA,40.2395,-79.4509
Alternative Right,Atlanta,Georgia,White Nationalist,2015,Atlanta,GA,33.7626,-84.4228
America's Promise Ministries,Sandpoint,Idaho,Christian Identity,2015,Sandpoint,ID,48.2832,-116.5613
American Border Patrol,Sierra Vista,Arizona,Anti-Immigrant,2015,Sierra Vista,AZ,31.563,-110.3153
American College of Pediatricians,Gainesville,Florida,Anti-LGBT,2015,Gainesville,FL,29.6808,-82.3455
The American Defence League,New York,New York,Anti-Muslim,2015,New York,NY,40.6943,-73.9249
American Eagle Party,Gatlinburg,Tennessee,White Nationalist,2015,Gatlinburg,TN,35.725,-83.4936
American Family Association,Franklin,Pennsylvania,Anti-LGBT,2015,Franklin,PA,41.3936,-79.8425
American Family Association,Tupelo,Mississippi,Anti-LGBT,2015,Tupelo,MS,34.2691,-88.7318
American Free Press,Washington,District of Columbia,General Hate,2015,Washington,DC,38.9047,-77.0163
American Freedom Defense Initiative,New York,New York,Anti-Muslim,2015,New York,NY,40.6943,-73.9249
American Freedom Law Center,Ann Arbor,Michigan,Anti-Muslim,2015,Ann Arbor,MI,42.2755,-83.7312
American Freedom Party,Baldwyn,Mississippi,White Nationalist,2015,Baldwyn,MS,34.5071,-88.6416
American Freedom Party,Bradenton,Florida,White Nationalist,2015,Bradenton,FL,27.49,-82.5743
American Freedom Party,Granbury,Texas,White Nationalist,2015,Granbury,TX,32.4483,-97.7685
American Freedom Party,Grand Forks,North Dakota,White Nationalist,2015,Grand Forks,ND,47.9223,-97.0887
American Freedom Party,Los Angeles,California,White Nationalist,2015,Los Angeles,CA,34.1139,-118.4068
American Freedom Party,New York,New York,White Nationalist,2015,New York,NY,40.6943,-73.9249
American Front,Hackensack,New Jersey,Racist Skinhead,2015,Hackensack,NJ,40.889,-74.0461
American Front,Haledon,New Jersey,Racist Skinhead,2015,Haledon,NJ,40.9363,-74.1887
American Front,Roselle,New Jersey,Racist Skinhead,2015,Roselle,NJ,40.6527,-74.2599
American Front,Sacramento,California,Racist Skinhead,2015,Sacramento,CA,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Monterey,Virginia,Anti-Immigrant,2015,Monterey,VA,38.4116,-79.5809
American Nationalist Association,Porterville,California,White Nationalist,2015,Porterville,CA,36.0644,-119.0337
American Nationalist Union,Las Vegas,Nevada,White Nationalist,2015,Las Vegas,NV,36.2291,-115.2607
American Nazi Party,Rialto,California,Neo-Nazi,2015,Rialto,CA,34.1128,-117.3885
American Nazi Party,Westland,Michigan,Neo-Nazi,2015,Westland,MI,42.3192,-83.3805
American Renaissance/New Century Foundation,Oakton,Virginia,White Nationalist,2015,Oakton,VA,38.8887,-77.3017
American Vikings,Knightstown,Indiana,Racist Skinhead,2015,Knightstown,IN,39.796,-85.5311
American Vision,Powder Springs,Georgia,Anti-LGBT,2015,Powder Springs,GA,33.866,-84.6838
Americans for Legal Immigration (ALIPAC),Raleigh,North Carolina,Anti-Immigrant,2015,Raleigh,NC,35.8323,-78.6439
Americans for Truth About Homosexuality,Naperville,Illinois,Anti-LGBT,2015,Naperville,IL,41.7483,-88.1657
Americans Have Had Enough,Mauldin,South Carolina,Anti-Immigrant,2015,Mauldin,SC,34.7864,-82.2996
Artisan Publishers,Muskogee,Oklahoma,General Hate,2015,Muskogee,OK,35.743,-95.3566
Aryan Nations,Converse,Louisiana,Neo-Nazi,2015,Converse,LA,31.7795,-93.7001
