title,state_name,ideology,year,city,lat,lon
a2z Publications,Nevada,General Hate,2015,Las Vegas,36.2291,-115.2607
Abiding Truth Ministries,Massachusetts,Anti-LGBT,2015,Springfield,42.1155,-72.5395
AC Skins,New Jersey,Racist Skinhead,2015,Atlantic City,39.3797,-74.4527
ACT for America,Virginia,Anti-Muslim,2015,Virginia Beach,36.7335,-76.0435
Active Democracy,District of Columbia,General Hate,2015,Washington,38.9047,-77.0163
Advanced White Society,North Carolina,White Nationalist,2015,Mount Airy,36.5083,-80.6157
Advanced White Society,New York,White Nationalist,2015,New York,40.6943,-73.9249
Aggressive Christianity,New Mexico,General Hate,2015,Berino,32.0689,-106.6219
Aggressive Christianity,New Mexico,General Hate,2015,Fence Lake,34.669,-108.6801
All Eyes on Egipt Bookstore,Ohio,Black Nationalist,2015,Cleveland,41.4767,-81.6805
All Eyes on Egipt Bookstore,Michigan,Black Nationalist,2015,Detroit,42.3834,-83.1024
All Eyes on Egipt Bookstore,Georgia,Black Nationalist,2015,Monticello,33.3076,-83.6861
All Eyes on Egipt Bookstore,Florida,Black Nationalist,2015,Orlando,28.4788,-81.342
All Eyes on Egipt Bookstore,Georgia,Black Nationalist,2015,Scottdale,33.795,-84.2634
All Eyes on Egipt Bookstore,Massachusetts,Black Nationalist,2015,Boston,42.3188,-71.0846
All Eyes On Egipt Bookstore,Illinois,Black Nationalist,2015,Chicago,41.8373,-87.6861
All Eyes On Egipt Bookstore,New York,Black Nationalist,2015,Brooklyn,40.6501,-73.9496
All Eyes On Egypt Bookstore,Georgia,Black Nationalist,2015,Macon,32.8407,-83.6324
All Eyes on Egypt Bookstore,Georgia,Black Nationalist,2015,Milledgeville,33.0874,-83.2414
Alliance for Catholic Tradition,Pennsylvania,Radical Traditional Catholicism,2015,Pleasant Unity,40.2395,-79.4509
Alternative Right,Georgia,White Nationalist,2015,Atlanta,33.7626,-84.4228
America's Promise Ministries,Idaho,Christian Identity,2015,Sandpoint,48.2832,-116.5613
American Border Patrol,Arizona,Anti-Immigrant,2015,Sierra Vista,31.563,-110.3153
American College of Pediatricians,Florida,Anti-LGBT,2015,Gainesville,29.6808,-82.3455
The American Defence League,New York,Anti-Muslim,2015,New York,40.6943,-73.9249
American Eagle Party,Tennessee,White Nationalist,2015,Gatlinburg,35.725,-83.4936
American Family Association,Pennsylvania,Anti-LGBT,2015,Franklin,41.3936,-79.8425
American Family Association,Mississippi,Anti-LGBT,2015,Tupelo,34.2691,-88.7318
American Free Press,District of Columbia,General Hate,2015,Washington,38.9047,-77.0163
American Freedom Defense Initiative,New York,Anti-Muslim,2015,New York,40.6943,-73.9249
American Freedom Law Center,Michigan,Anti-Muslim,2015,Ann Arbor,42.2755,-83.7312
American Freedom Party,Mississippi,White Nationalist,2015,Baldwyn,34.5071,-88.6416
American Freedom Party,Florida,White Nationalist,2015,Bradenton,27.49,-82.5743
American Freedom Party,Texas,White Nationalist,2015,Granbury,32.4483,-97.7685
American Freedom Party,North Dakota,White Nationalist,2015,Grand Forks,47.9223,-97.0887
American Freedom Party,California,White Nationalist,2015,Los Angeles,34.1139,-118.4068
American Freedom Party,New York,White Nationalist,2015,New York,40.6943,-73.9249
American Front,New Jersey,Racist Skinhead,2015,Hackensack,40.889,-74.0461
American Front,New Jersey,Racist Skinhead,2015,Haledon,40.9363,-74.1887
American Front,New Jersey,Racist Skinhead,2015,Roselle,40.6527,-74.2599
American Front,California,Racist Skinhead,2015,Sacramento,38.5667,-121.4683
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2015,Monterey,38.4116,-79.5809
American Nationalist Association,California,White Nationalist,2015,Porterville,36.0644,-119.0337
American Nationalist Union,Nevada,White Nationalist,2015,Las Vegas,36.2291,-115.2607
American Nazi Party,California,Neo-Nazi,2015,Rialto,34.1128,-117.3885
American Nazi Party,Michigan,Neo-Nazi,2015,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2015,Oakton,38.8887,-77.3017
American Vikings,Indiana,Racist Skinhead,2015,Knightstown,39.796,-85.5311
American Vision,Georgia,Anti-LGBT,2015,Powder Springs,33.866,-84.6838
