title,city_ascii,state_name,ideology,year,city,state_id,lat,lon
11th Hour Remnant Messenger,Sandpoint,Idaho,Christian Identity,2000,Sandpoint,ID,48.2832,-116.5613
2YT4U,Ferndale,Michigan,Racist Skinhead,2000,Ferndale,MI,42.4592,-83.1314
88 Enterprises,Canton,Ohio,General Hate,2000,Canton,OH,40.8076,-81.3677
Alabama White Knights of the KKK,Anniston,Alabama,Ku Klux Klan,2000,Anniston,AL,33.6713,-85.8136
Alabama White Knights of the KKK,Birmingham,Alabama,Ku Klux Klan,2000,Birmingham,AL,33.5276,-86.7988
Alabama White Knights of the KKK,Clanton,Alabama,Ku Klux Klan,2000,Clanton,AL,32.8439,-86.623
Alabama White Knights of the KKK,Gadsden,Alabama,Ku Klux Klan,2000,Gadsden,AL,34.009,-86.0156
Alabama White Knights of the KKK,Jasper,Alabama,Ku Klux Klan,2000,Jasper,AL,33.8514,-87.2719
Alabama White Knights of the KKK,Moody,Alabama,Ku Klux Klan,2000,Moody,AL,33.5986,-86.4963
Alabama White Knights of the KKK,Pelham,Alabama,Ku Klux Klan,2000,Pelham,AL,33.3116,-86.7573
Alabama White Knights of the KKK,Satsuma,Alabama,Ku Klux Klan,2000,Satsuma,AL,30.8578,-88.0632
Alabama White Knights of the KKK,Springville,Alabama,Ku Klux Klan,2000,Springville,AL,33.7643,-86.4749
Alabama White Knights of the KKK,Valley,Alabama,Ku Klux Klan,2000,Valley,AL,32.8086,-85.1792
Alabama White Knights of the KKK,Wilton,Alabama,Ku Klux Klan,2000,Wilton,AL,33.0813,-86.8799
America's Invisible Empire Knights of the KKK,Alexandria,Louisiana,Christian Identity,2000,Alexandria,LA,31.2923,-92.4702
America's Invisible Empire Knights of the KKK,Eva,Alabama,Christian Identity,2000,Eva,AL,34.3274,-86.7614
America's Invisible Empire Knights of the KKK,Hartselle,Alabama,Christian Identity,2000,Hartselle,AL,34.4391,-86.94
America's Invisible Empire Knights of the KKK,Midland City,Alabama,Christian Identity,2000,Midland City,AL,31.3157,-85.4937
America's Promise Ministries,Sandpoint,Idaho,Christian Identity,2000,Sandpoint,ID,48.2832,-116.5613
American Friends of the British National Party,Falls Church,Virginia,General Hate,2000,Falls Church,VA,38.8847,-77.1751
American Front,Harrison,Arkansas,Racist Skinhead,2000,Harrison,AR,36.2437,-93.1197
American Immigration Control Foundation / Americans for Immigration Control,Monterey,Virginia,Anti-Immigrant,2000,Monterey,VA,38.4116,-79.5809
American Knights of the Ku Klux Klan,Butler,Indiana,Ku Klux Klan,2000,Butler,IN,41.4274,-84.8721
American Knights of the Ku Klux Klan,Cedarville,Arkansas,Ku Klux Klan,2000,Cedarville,AR,35.5831,-94.3615
American Knights of the Ku Klux Klan,Collinsville,Oklahoma,Ku Klux Klan,2000,Collinsville,OK,36.3723,-95.8601
American Knights of the Ku Klux Klan,Goshen,Indiana,Ku Klux Klan,2000,Goshen,IN,41.5741,-85.8304
American Knights of the Ku Klux Klan,Mauriceville,Texas,Ku Klux Klan,2000,Mauriceville,TX,30.2187,-93.8758
American Knights of the Ku Klux Klan,Memphis,Tennessee,Ku Klux Klan,2000,Memphis,TN,35.1047,-89.9773
American Knights of the Ku Klux Klan,Newburgh,New York,Ku Klux Klan,2000,Newburgh,NY,41.5037,-74.0205
American Knights of the Ku Klux Klan,Nixa,Missouri,Ku Klux Klan,2000,Nixa,MO,37.0459,-93.2953
American Knights of the Ku Klux Klan,Orlando,Florida,Ku Klux Klan,2000,Orlando,FL,28.4788,-81.342
American Knights of the Ku Klux Klan,Prospect,Pennsylvania,Ku Klux Klan,2000,Prospect,PA,40.8992,-80.0487
American Knights of the Ku Klux Klan,San Antonio,Texas,Ku Klux Klan,2000,San Antonio,TX,29.4722,-98.5247
American Knights of the Ku Klux Klan,Welsh,Louisiana,Ku Klux Klan,2000,Welsh,LA,30.2355,-92.8135
