year,location,state,dead,injured,total,lat,lon
1982,Miami,Florida,8,3,11,25.784,-80.2102
1984,San Ysidro,California,22,19,41,32.5520013,-117.0430813
1984,Dallas,Texas,6,1,7,32.7937,-96.7662
1986,Edmond,Oklahoma,15,6,21,35.6689,-97.4159
1987,Palm Bay,Florida,6,14,20,27.9861,-80.6628
1988,Sunnyvale,California,7,4,11,37.3835,-122.0257
1989,Stockton,California,6,29,35,37.9766,-121.3112
1989,Louisville,Kentucky,9,12,21,38.1662,-85.6488
1990,Jacksonville,Florida,10,4,14,30.3322,-81.6749
1991,Iowa City,Iowa,6,1,7,41.6559,-91.5304
1991,Royal Oak,Michigan,5,5,10,42.5084,-83.1539
1991,Killeen,Texas,24,20,44,31.0754,-97.7293
1992,Olivehurst,California,4,10,14,39.0817,-121.5549
1992,Watkins Glen,New York,5,0,5,42.3801,-76.8673
1993,San Francisco,California,9,6,15,37.7562,-122.443
1993,Aurora,Colorado,4,1,5,39.7084,-104.7274
1993,Garden City,New York,6,19,25,40.7266,-73.6447
1993,Fayetteville,North Carolina,4,8,12,35.0846,-78.9776
1994,Fairchild Air Force Base,Washington,5,23,28,47.61864486,-117.6483587
1995,Corpus Christi,Texas,6,0,6,27.7173,-97.3822
1996,Fort Lauderdale,Florida,6,1,7,26.1412,-80.1464
1997,Orange,California,5,2,7,33.8038,-117.8219
1997,Aiken,South Carolina,4,3,7,33.5303,-81.727
1998,Jonesboro,Arkansas,5,10,15,35.8212,-90.6795
1998,Newington,Connecticut,5,1,6,41.687,-72.7308
1998,Springfield,Oregon,4,25,29,44.0538,-122.9811
1999,Littleton,Colorado,13,24,37,39.5911,-105.0194
1999,Tampa,Florida,5,3,8,27.9937,-82.4454
1999,Atlanta,Georgia,9,13,22,33.7626,-84.4228
1999,Honolulu,Hawaii,7,0,7,21.3294,-157.846
1999,Fort Worth,Texas,8,7,15,32.7814,-97.3473
2000,Wakefield,Massachusetts,7,0,7,42.5035,-71.0656
2000,Pittsburgh,Pennsylvania,5,0,5,40.4396,-79.9763
2001,Nevada County,California,3,2,5,39.34222222,-120.2036111
2001,Santee,California,2,13,15,32.8555,-116.9856
2001,Melrose Park,Illinois,5,4,9,41.9029,-87.8642
2002,Washington,District of Columbia,17,10,27,38.9047,-77.0163
2002,Grundy,Virginia,3,3,6,37.2754,-82.0988
2003,New Orleans,Louisiana,1,3,4,30.0687,-89.9288
2003,Meridian,Mississippi,7,8,15,32.3846,-88.6897
2004,Fresno,California,9,0,9,36.7834,-119.7941
2004,Columbus,Ohio,5,7,12,39.986,-82.9852
2004,Meteor,Wisconsin,6,2,8,45.67916667,-91.35583333
2005,Red Lake,Minnesota,10,5,15,47.8707,-95.0052
2005,Red Lake,Minnesota,10,5,15,47.8707,-95.0052
2005,Tacoma,Washington,0,6,6,47.2431,-122.4531
2005,Brookfield,Wisconsin,7,4,11,43.064,-88.1232
2006,Goleta,California,8,0,8,34.436,-119.8596
2006,Bart Township,Pennsylvania,6,5,11,39.9589,-76.0806
2006,Seattle,Washington,7,2,9,47.6211,-122.3244
2006,Seattle,Washington,7,2,9,47.6211,-122.3244
2007,Colorado Springs,Colorado,5,5,10,38.8674,-104.7606
2007,Omaha,Nebraska,9,6,15,41.2628,-96.0495
2007,Salt Lake City,Utah,6,4,10,40.7774,-111.9301
2007,Blacksburg,Virginia,32,23,55,37.23,-80.428
2007,Crandon,Wisconsin,7,1,8,45.5686,-88.8973
2008,Covina,California,10,3,13,34.0903,-117.8817
2008,DeKalb,Illinois,6,21,27,41.9312,-88.7483
2008,Henderson,Kentucky,6,1,7,37.8405,-87.5788
2008,Kirkwood,Missouri,6,2,8,38.5789,-90.4203
2008,Skagit County,Washington,6,2,8,48.50194444,-122.6236111
2009,Geneva,Alabama,11,6,17,31.0437,-85.8764
2009,Binghamton,New York,14,4,18,42.1014,-75.9093
2009,Carthage,North Carolina,8,3,11,35.3223,-79.4117
2009,Collier Township,Pennsylvania,4,9,13,40.38333333,-80.11638889
2009,Pittsburgh,Pennsylvania,3,3,6,40.4396,-79.9763
2009,Fort Hood,Texas,14,33,47,31.135557,-97.783664
2009,Parkland,Washington,4,1,5,47.1417,-122.4376
2010,Huntsville,Alabama,3,3,6,34.6989,-86.6414
2010,Manchester,Connecticut,9,2,11,41.7801,-72.5192
2010,St. Louis,Missouri,4,5,9,38.62722222,-90.19777778
2010,Appomattox,Virginia,8,0,8,37.3591,-78.8269
2011,Tucson,Arizona,6,15,21,32.1546,-110.8782
2011,Seal Beach,California,8,1,9,33.7542,-118.0714
2011,Grand Rapids,Michigan,8,2,10,42.9615,-85.6557
