title,state_name,ideology,year,city,lat,lon
14 Words Press,North Carolina,White Nationalist,2003,Wilmington,34.21,-77.886
88 Enterprises,Ohio,General Hate,2003,Canton,40.8076,-81.3677
AC Skins,New Jersey,Racist Skinhead,2003,Atlantic City,39.3797,-74.4527
AC Skins,New Jersey,Racist Skinhead,2003,Somers Point,39.3167,-74.6066
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2003,Birmingham,33.5276,-86.7988
Alabama White Knights of the KKK,Alabama,Ku Klux Klan,2003,Clanton,32.8439,-86.623
America's Invisible Empire Knights of the KKK,Tennessee,Christian Identity,2003,Erwin,36.1456,-82.4115
America's Invisible Empire Knights of the KKK,Alabama,Christian Identity,2003,Hartselle,34.4391,-86.94
America's Invisible Empire Knights of the KKK,Louisiana,Christian Identity,2003,Welsh,30.2355,-92.8135
America's Promise Ministries,Idaho,Christian Identity,2003,Sandpoint,48.2832,-116.5613
American Immigration Control Foundation/Americans for Immigration Control,Virginia,Anti-Immigrant,2003,Monterey,38.4116,-79.5809
American Knights of the Ku Klux Klan,Indiana,Ku Klux Klan,2003,Butler,41.4274,-84.8721
American Knights of the Ku Klux Klan,Arkansas,Ku Klux Klan,2003,Cedarville,35.5831,-94.3615
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2003,Collinsville,36.3723,-95.8601
American Knights of the Ku Klux Klan,Oklahoma,Ku Klux Klan,2003,Seminole,35.2346,-96.65
American Nazi Party,Michigan,Neo-Nazi,2003,Westland,42.3192,-83.3805
American Renaissance/New Century Foundation,Virginia,White Nationalist,2003,Oakton,38.8887,-77.3017
American Third Position,New Jersey,White Nationalist,2003,Clifton,40.8631,-74.1575
American White Knights of the KKK,Georgia,Ku Klux Klan,2003,Cordele,31.9563,-83.7694
Americans for Self Determination,Virginia,White Nationalist,2003,Falls Church,38.8847,-77.1751
Artisan Publishers,Oklahoma,General Hate,2003,Muskogee,35.743,-95.3566
Aryan Covenant Church/ACC Services,Texas,Christian Identity,2003,Anderson,30.4871,-95.99
Aryan Nations,Louisiana,Neo-Nazi,2003,Calhoun,32.5153,-92.3539
Aryan Nations,California,Neo-Nazi,2003,Citrus Heights,38.6948,-121.288
Aryan Nations,Tennessee,Neo-Nazi,2003,Clarksville,36.5696,-87.3428
Aryan Nations,Maryland,Neo-Nazi,2003,Cumberland,39.6515,-78.7585
Aryan Nations,Ohio,Neo-Nazi,2003,Gibsonburg,41.3875,-83.3216
Aryan Nations,New Hampshire,Neo-Nazi,2003,Hampton Beach,42.9142,-70.8128
Aryan Nations,Idaho,Neo-Nazi,2003,Hayden Lake,47.7638,-116.7558
Aryan Nations,Texas,Neo-Nazi,2003,Hurst,32.8353,-97.1808
Aryan Nations,Pennsylvania,Neo-Nazi,2003,Jonestown,40.4129,-76.4807
Aryan Nations,Kansas,Neo-Nazi,2003,Junction City,39.0272,-96.8497
Aryan Nations,Arkansas,Neo-Nazi,2003,London,35.328,-93.2417
Aryan Nations,Iowa,Neo-Nazi,2003,Mason City,43.1487,-93.1998
Aryan Nations,Wisconsin,Neo-Nazi,2003,Mercer,46.1635,-90.0528
Aryan Nations,Florida,Neo-Nazi,2003,Milton,30.6286,-87.0521
Aryan Nations,Oregon,Neo-Nazi,2003,North Bend,43.4075,-124.2364
Aryan Nations,New Jersey,Neo-Nazi,2003,North Bergen,40.8043,-74.0121
Aryan Nations,Arizona,Neo-Nazi,2003,Phoenix,33.5722,-112.0891
Aryan Nations,Nevada,Neo-Nazi,2003,Reno,39.5497,-119.8483
Aryan Nations,Washington,Neo-Nazi,2003,Tacoma,47.2431,-122.4531
Aryan Nations,Alabama,Neo-Nazi,2003,Talladega,33.4329,-86.0976
Aryan Nations,Georgia,Neo-Nazi,2003,Wrightsville,32.7265,-82.7197
Aryan Nations,Pennsylvania,Neo-Nazi,2003,Leola,40.0915,-76.1891
Aryan Nations,Pennsylvania,Neo-Nazi,2003,Ulysses,41.903,-77.7548
Aryan Nations Knights of the KKK,Pennsylvania,Ku Klux Klan,2003,Adamstown,40.2417,-76.0608
Aryan Nations Knights of the KKK,Louisiana,Ku Klux Klan,2003,Bourg,29.557,-90.6064
Aryan Nations Knights of the KKK,Louisiana,Ku Klux Klan,2003,Calhoun,32.5153,-92.3539
Aryan Nations Knights of the KKK,North Carolina,Ku Klux Klan,2003,Elizabethtown,34.6239,-78.6097
Aryan Nations Knights of the KKK,Montana,Ku Klux Klan,2003,Great Falls,47.5022,-111.2995
Aryan Nations Knights of the KKK,Texas,Ku Klux Klan,2003,Hurst,32.8353,-97.1808
Aryan Nations Knights of the KKK,Florida,Ku Klux Klan,2003,Jacksonville,30.3322,-81.6749
Aryan Nations Knights of the KKK,Mississippi,Ku Klux Klan,2003,Lucedale,30.9312,-88.5959
Aryan Nations Knights of the KKK,Michigan,Ku Klux Klan,2003,Mount Clemens,42.5976,-82.882
Aryan Nations Knights of the KKK,Alabama,Ku Klux Klan,2003,Munford,33.5287,-85.953
Aryan Nations Knights of the KKK,Georgia,Ku Klux Klan,2003,Statesboro,32.4376,-81.775
Aryan Nations Knights of the KKK,Connecticut,Ku Klux Klan,2003,Waterbury,41.5583,-73.0361
Aryan Raiders,New Jersey,Neo-Nazi,2003,Oceanport,40.316,-74.0205
Aryan Reformation Knights,Indiana,Ku Klux Klan,2003,Indianapolis,39.7771,-86.1458
Aryan Renaissance Society,New Jersey,Neo-Nazi,2003,Island Heights,39.9423,-74.1454
Aryan Renaissance Society,Missouri,Neo-Nazi,2003,Moscow Mills,38.9398,-90.9253
"Barnes Review/Foundation for Economic Liberty, Inc.",District of Columbia,Holocaust Denial,2003,Washington,38.9047,-77.0163
Bayou Knights of the KKK,Mississippi,Ku Klux Klan,2003,Fulton,34.2616,-88.4021
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2003,Homer,32.793,-93.0582
Bayou Knights of the KKK,Louisiana,Ku Klux Klan,2003,Mansfield,32.0355,-93.7004
Bergen County Hooligans,New Jersey,Racist Skinhead,2003,Garfield,40.8791,-74.1085
Bergen County Hooligans,New Jersey,Racist Skinhead,2003,Wallington,40.8535,-74.1069
Blood and Honour,Georgia,Racist Skinhead,2003,Kennesaw,34.0262,-84.6177
Blood and Honour,California,Racist Skinhead,2003,Laguna Niguel,33.5275,-117.705
Blood and Honour,Missouri,Racist Skinhead,2003,Liberty,39.2394,-94.4191
Blood and Honour,Texas,Racist Skinhead,2003,Richardson,32.9717,-96.7092
Blood and Honour,Ohio,Racist Skinhead,2003,Salem,40.9049,-80.8491
Blood and Honour,Texas,Racist Skinhead,2003,San Antonio,29.4722,-98.5247
Blood and Honour,Michigan,Racist Skinhead,2003,Traverse City,44.7547,-85.6035
Blood and Honour,Pennsylvania,Racist Skinhead,2003,Wheatland,41.1971,-80.4957
Brotherhood of Klans Knights of the KKK,Wisconsin,Ku Klux Klan,2003,Hurley,46.4468,-90.1993
Brotherhood of Klans Knights of the KKK,Nebraska,Ku Klux Klan,2003,Omaha,41.2628,-96.0495
Brotherhood of Klans Knights of the KKK,Illinois,Ku Klux Klan,2003,Prospect Heights,42.1039,-87.9267
Brotherhood of Klans Knights of the KKK,Wisconsin,Ku Klux Klan,2003,Westfield,43.8851,-89.4926
By Yahweh's Design,Michigan,Christian Identity,2003,Stevensville,42.0139,-86.5243
National Coalition for Immigration Reform (formerly California Coalition for Immigration Reform),California,Anti-Immigrant,2003,Huntington Beach,33.696,-118.0025
Carolina White Knights of the KKK,South Carolina,Ku Klux Klan,2003,Charleston,32.8137,-79.9643
Carolina White Knights of the KKK,South Carolina,Ku Klux Klan,2003,Lexington,33.9866,-81.222
Charles Darwin Research Institute,Michigan,White Nationalist,2003,Port Huron,42.9822,-82.4387
Christ's Gospel Fellowship,Washington,Christian Identity,2003,Spokane,47.6671,-117.433
Christian Defense League,Louisiana,Neo-Nazi,2003,Arabi,29.9561,-89.9986
Christian Research,Arkansas,Christian Identity,2003,Eureka Springs,36.4105,-93.745
Church of Israel,Missouri,Christian Identity,2003,Schell City,38.0192,-94.1167
Church of Jesus Christ Christian/Aryan Nations,Arkansas,Christian Identity,2003,Bergman,36.3128,-93.0115
Church of the Sons of YHVH,Louisiana,Christian Identity,2003,Calhoun,32.5153,-92.3539
Church of True Israel,Montana,Christian Identity,2003,Noxon,47.985,-115.7707
Cleveland Knights of the KKK,North Carolina,Ku Klux Klan,2003,Lawndale,35.4142,-81.563
Confederate Crusaders,Louisiana,Ku Klux Klan,2003,Homer,32.793,-93.0582
Confederate Hammerskins,Florida,Racist Skinhead,2003,Jacksonville,30.3322,-81.6749
Confederate Hammerskins,Georgia,Racist Skinhead,2003,Marietta,33.9532,-84.5421
Confederate Knights of the KKK,North Carolina,Ku Klux Klan,2003,Henderson,36.3259,-78.4155
Connecticut White Wolves,Connecticut,Racist Skinhead,2003,Stratford,41.207,-73.1305
"Conservative Citizens Foundation, Inc.",Missouri,White Nationalist,2003,Bridgeton,38.7672,-90.4276
Council of Conservative Citizens,Georgia,White Nationalist,2003,Atlanta,33.7626,-84.4228
Council of Conservative Citizens,California,White Nationalist,2003,Bakersfield,35.353,-119.036
Council of Conservative Citizens,Louisiana,White Nationalist,2003,Baton Rouge,30.4423,-91.1314
Council of Conservative Citizens,Alabama,White Nationalist,2003,Birmingham,33.5276,-86.7988
Council of Conservative Citizens,Mississippi,White Nationalist,2003,Byram,32.189,-90.2861
Council of Conservative Citizens,Mississippi,White Nationalist,2003,Calhoun City,33.8588,-89.3145
Council of Conservative Citizens,Tennessee,White Nationalist,2003,Chattanooga,35.0657,-85.2488
Council of Conservative Citizens,North Carolina,White Nationalist,2003,Clemmons,36.0318,-80.3861
Council of Conservative Citizens,Tennessee,White Nationalist,2003,Cleveland,35.1817,-84.8707
Council of Conservative Citizens,Ohio,White Nationalist,2003,Cleveland,41.4767,-81.6805
Council of Conservative Citizens,Virginia,White Nationalist,2003,Falls Church,38.8847,-77.1751
