,year,code,state,lat,lon,RATE,DEATHS
0,2014,AL,Alabama,32.7794,-86.8287,14.5,715
1,2014,AK,Alaska,64.0685,-152.2782,22.1,167
2,2014,AZ,Arizona,34.2744,-111.6602,18.0,"1,244"
3,2014,AR,Arkansas,34.8938,-92.4426,17.3,515
4,2014,CA,California,37.1841,-119.4696,10.5,"4,214"
5,2014,CO,Colorado,38.9972,-105.5478,19.9,"1,083"
6,2014,CT,Connecticut,41.6219,-72.7273,9.8,379
7,2014,DE,Delaware,38.9896,-75.505,13.2,126
8,2014,FL,Florida,28.6305,-82.4497,13.9,"3,035"
9,2014,GA,Georgia,32.6415,-83.4426,12.6,"1,294"
10,2014,HI,Hawaii,20.2927,-156.3737,13.8,204
11,2014,ID,Idaho,44.3509,-114.613,20.0,320
12,2014,IL,Illinois,40.0417,-89.1965,10.5,"1,398"
13,2014,IN,Indiana,39.8942,-86.2816,14.3,948
14,2014,IA,Iowa,42.0751,-93.496,12.9,407
15,2014,KS,Kansas,38.4937,-98.3804,15.7,455
16,2014,KY,Kentucky,37.5347,-85.3021,15.9,727
17,2014,LA,Louisiana,31.0689,-91.9968,14.3,679
18,2014,ME,Maine,45.3695,-69.2428,15.7,220
19,2014,MD,Maryland,39.055,-76.7909,9.8,606
20,2014,MA,Massachusetts,42.2596,-71.8083,8.2,596
21,2014,MI,Michigan,44.3467,-85.4102,13.3,"1,354"
22,2014,MN,Minnesota,46.2807,-94.3053,12.2,686
23,2014,MS,Mississippi,32.7364,-89.6678,12.5,380
24,2014,MO,Missouri,38.3566,-92.458,16.3,"1,017"
25,2014,MT,Montana,47.0527,-109.6333,23.9,251
26,2014,NE,Nebraska,41.5378,-99.7951,13.4,251
27,2014,NV,Nevada,39.3289,-116.6312,19.6,573
28,2014,NH,New Hampshire,43.6805,-71.5811,17.8,247
29,2014,NJ,New Jersey,40.1907,-74.6728,8.3,786
30,2014,NM,New Mexico,34.4071,-106.1126,21.0,449
31,2014,NY,New York,42.9538,-75.5268,8.1,"1,700"
32,2014,NC,North Carolina,35.5557,-79.3877,13.0,"1,351"
33,2014,ND,North Dakota,47.4501,-100.4659,17.8,137
34,2014,OH,Ohio,40.2862,-82.7937,12.6,"1,491"
35,2014,OK,Oklahoma,35.5889,-97.4943,19.1,736
36,2014,OR,Oregon,43.9336,-120.5583,18.6,782
37,2014,PA,Pennsylvania,40.8781,-77.7996,13.3,"1,817"
38,2014,RI,Rhode Island,41.6762,-71.5562,10.1,113
39,2014,SC,South Carolina,33.9169,-80.8964,15.2,753
40,2014,SD,South Dakota,44.4443,-100.2263,17.1,141
41,2014,TN,Tennessee,35.85800000000001,-86.3505,14.1,948
42,2014,TX,Texas,31.4757,-99.3312,12.2,"3,254"
43,2014,UT,Utah,39.3055,-111.6703,20.5,559
44,2014,VT,Vermont,44.0687,-72.6658,18.7,124
45,2014,VA,Virginia,37.5215,-78.8537,12.9,"1,122"
46,2014,WA,Washington,47.3826,-120.4472,15.2,"1,119"
47,2014,WV,West Virginia,38.6409,-80.6227,18.1,359
48,2014,WI,Wisconsin,44.6243,-89.9941,13.1,769
49,2014,WY,Wyoming,42.9957,-107.5512,20.6,120
50,2015,AL,Alabama,32.7794,-86.8287,14.9,750
51,2015,AK,Alaska,64.0685,-152.2782,26.9,201
52,2015,AZ,Arizona,34.2744,-111.6602,18.2,"1,276"
53,2015,AR,Arkansas,34.8938,-92.4426,19.1,577
54,2015,CA,California,37.1841,-119.4696,10.3,"4,167"
55,2015,CO,Colorado,38.9972,-105.5478,19.5,"1,093"
56,2015,CT,Connecticut,41.6219,-72.7273,9.9,384
57,2015,DE,Delaware,38.9896,-75.505,12.6,122
58,2015,FL,Florida,28.6305,-82.4497,14.4,"3,205"
59,2015,GA,Georgia,32.6415,-83.4426,12.7,"1,317"
60,2015,HI,Hawaii,20.2927,-156.3737,13.5,201
61,2015,ID,Idaho,44.3509,-114.613,22.1,359
62,2015,IL,Illinois,40.0417,-89.1965,10.3,"1,363"
63,2015,IN,Indiana,39.8942,-86.2816,14.4,960
64,2015,IA,Iowa,42.0751,-93.496,13.9,433
65,2015,KS,Kansas,38.4937,-98.3804,16.3,477
